time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
8.0,2.0,2.0625,7.172692302219297e-22
8.0,2.0,2.1875,2.738900277553371e-22
8.0,2.0,2.3125,-2.42910442770122e-22
8.0,2.0,2.4375,-3.280756602236018e-22
8.0,3.0,0.0625,3.179228545549109e-24
8.0,3.0,0.1875,9.351727703210956e-24
8.0,3.0,0.3125,9.042034183321088e-24
8.0,3.0,0.4375,-1.6524965455606282e-24
8.0,3.0,0.5625,-1.613639181864191e-23
8.0,3.0,0.6875,-1.7339925964430502e-23
8.0,3.0,0.8125,3.93321216017462e-24
8.0,3.0,0.9375,2.594229502652873e-23
8.0,3.0,1.0625,2.338865326338844e-23
8.0,3.0,1.1875,1.2227626185115752e-23
8.0,3.0,1.3125,-7.88333558835606e-24
8.0,3.0,1.4375,-3.2526379720914477e-23
8.0,3.0,1.5625,-4.385463719697606e-23
8.0,3.0,1.6875,-2.1520475349146348e-23
8.0,3.0,1.8125,1.7537692292241687e-24
8.0,3.0,1.9375,3.148225437147585e-23
8.0,3.0,2.0625,5.354341030006773e-23
8.0,3.0,2.1875,4.474993911766737e-23
8.0,3.0,2.3125,4.9086236277926823e-23
8.0,3.0,2.4375,2.5801505769382722e-23
10.0,1.0,0.0625,0.7599028838985201
10.0,1.0,0.1875,0.7661481619677774
10.0,1.0,0.3125,0.7748680383419884
10.0,1.0,0.4375,0.7844041438881201
10.0,1.0,0.5625,0.7941386999856924
10.0,1.0,0.6875,0.8039278835953986
10.0,1.0,0.8125,0.8137487705036754
10.0,1.0,0.9375,0.8235836413275242
10.0,1.0,1.0625,0.833469917150693
10.0,1.0,1.1875,0.8432956899390159
10.0,1.0,1.3125,0.853401388818344
10.0,1.0,1.4375,0.8628047122967221
10.0,1.0,1.5625,0.8719540252416191
10.0,1.0,1.6875,0.8811663400265021
10.0,1.0,1.8125,0.8903500298413075
10.0,1.0,1.9375,0.8995555148069362
10.0,1.0,2.0625,0.9086088501037656
10.0,1.0,2.1875,0.9178173667527584
10.0,1.0,2.3125,0.9262780720244347
10.0,1.0,2.4375,0.9400660162576182
10.0,2.0,0.0625,0.24009711610147977
10.0,2.0,0.1875,0.23385183803222254
10.0,2.0,0.3125,0.2251319616580115
10.0,2.0,0.4375,0.21559585611188
10.0,2.0,0.5625,0.20586130001430766
10.0,2.0,0.6875,0.19607211640460134
10.0,2.0,0.8125,0.1862512294963247
10.0,2.0,0.9375,0.17641635867247565
10.0,2.0,1.0625,0.16653008284930684
10.0,2.0,1.1875,0.15670431006098404
10.0,2.0,1.3125,0.14659861118165624
10.0,2.0,1.4375,0.13719528770327777
10.0,2.0,1.5625,0.1280459747583809
10.0,2.0,1.6875,0.1188336599734981
10.0,2.0,1.8125,0.10964997015869281
10.0,2.0,1.9375,0.10044448519306347
10.0,2.0,2.0625,0.09139114989623434
10.0,2.0,2.1875,0.08218263324724161
10.0,2.0,2.3125,0.0737219279755653
10.0,2.0,2.4375,0.059933983742381916
10.0,3.0,0.0625,-4.722539762515375e-25
10.0,3.0,0.1875,1.389491530142179e-24
10.0,3.0,0.3125,1.9376482722485432e-24
10.0,3.0,0.4375,-1.0024093275446467e-25
10.0,3.0,0.5625,-2.557464470115966e-24
10.0,3.0,0.6875,-4.39885424999301e-24
10.0,3.0,0.8125,-4.883128603850892e-24
10.0,3.0,0.9375,-3.615289182113733e-24
10.0,3.0,1.0625,-1.6746702203498103e-24
10.0,3.0,1.1875,-5.470553757240276e-25
10.0,3.0,1.3125,1.193328033221174e-27
10.0,3.0,1.4375,1.5534063462164047e-26
10.0,3.0,1.5625,-1.7934219713121478e-25
10.0,3.0,1.6875,-6.023106145695731e-25
10.0,3.0,1.8125,-5.913930993816302e-25
10.0,3.0,1.9375,-1.7059431828237705e-24
10.0,3.0,2.0625,-9.506131148940563e-25
10.0,3.0,2.1875,-4.264090721603687e-24
10.0,3.0,2.3125,-5.373795760610132e-24
10.0,3.0,2.4375,2.8110386652823875e-24
10.0,1.0,0.0625,0.7599028838985201
10.0,1.0,0.1875,0.7661481619677774
10.0,1.0,0.3125,0.7748680383419884
10.0,1.0,0.4375,0.7844041438881201
10.0,1.0,0.5625,0.7941386999856924
10.0,1.0,0.6875,0.8039278835953986
10.0,1.0,0.8125,0.8137487705036754
10.0,1.0,0.9375,0.8235836413275242
10.0,1.0,1.0625,0.833469917150693
10.0,1.0,1.1875,0.8432956899390159
10.0,1.0,1.3125,0.853401388818344
10.0,1.0,1.4375,0.8628047122967221
10.0,1.0,1.5625,0.8719540252416191
10.0,1.0,1.6875,0.8811663400265021
10.0,1.0,1.8125,0.8903500298413075
10.0,1.0,1.9375,0.8995555148069362
10.0,1.0,2.0625,0.9086088501037656
10.0,1.0,2.1875,0.9178173667527584
10.0,1.0,2.3125,0.9262780720244347
10.0,1.0,2.4375,0.9400660162576182
10.0,2.0,0.0625,0.24009711610147977
10.0,2.0,0.1875,0.23385183803222254
10.0,2.0,0.3125,0.2251319616580115
10.0,2.0,0.4375,0.21559585611188
10.0,2.0,0.5625,0.20586130001430766
10.0,2.0,0.6875,0.19607211640460134
10.0,2.0,0.8125,0.1862512294963247
10.0,2.0,0.9375,0.17641635867247565
10.0,2.0,1.0625,0.16653008284930684
10.0,2.0,1.1875,0.15670431006098404
10.0,2.0,1.3125,0.14659861118165624
10.0,2.0,1.4375,0.13719528770327777
10.0,2.0,1.5625,0.1280459747583809
10.0,2.0,1.6875,0.1188336599734981
10.0,2.0,1.8125,0.10964997015869281
10.0,2.0,1.9375,0.10044448519306347
10.0,2.0,2.0625,0.09139114989623434
10.0,2.0,2.1875,0.08218263324724161
10.0,2.0,2.3125,0.0737219279755653
10.0,2.0,2.4375,0.059933983742381916
10.0,3.0,0.0625,-4.722539762515375e-25
10.0,3.0,0.1875,1.389491530142179e-24
10.0,3.0,0.3125,1.9376482722485432e-24
10.0,3.0,0.4375,-1.0024093275446467e-25
10.0,3.0,0.5625,-2.557464470115966e-24
10.0,3.0,0.6875,-4.39885424999301e-24
10.0,3.0,0.8125,-4.883128603850892e-24
10.0,3.0,0.9375,-3.615289182113733e-24
10.0,3.0,1.0625,-1.6746702203498103e-24
10.0,3.0,1.1875,-5.470553757240276e-25
10.0,3.0,1.3125,1.193328033221174e-27
10.0,3.0,1.4375,1.5534063462164047e-26
10.0,3.0,1.5625,-1.7934219713121478e-25
10.0,3.0,1.6875,-6.023106145695731e-25
10.0,3.0,1.8125,-5.913930993816302e-25
10.0,3.0,1.9375,-1.7059431828237705e-24
10.0,3.0,2.0625,-9.506131148940563e-25
10.0,3.0,2.1875,-4.264090721603687e-24
10.0,3.0,2.3125,-5.373795760610132e-24
10.0,3.0,2.4375,2.8110386652823875e-24
10.0,1.0,0.0625,0.7599028838985201
10.0,1.0,0.1875,0.7661481619677774
10.0,1.0,0.3125,0.7748680383419884
10.0,1.0,0.4375,0.7844041438881201
10.0,1.0,0.5625,0.7941386999856924
10.0,1.0,0.6875,0.8039278835953986
10.0,1.0,0.8125,0.8137487705036754
10.0,1.0,0.9375,0.8235836413275242
10.0,1.0,1.0625,0.833469917150693
10.0,1.0,1.1875,0.8432956899390159
10.0,1.0,1.3125,0.853401388818344
10.0,1.0,1.4375,0.8628047122967221
10.0,1.0,1.5625,0.8719540252416191
10.0,1.0,1.6875,0.8811663400265021
10.0,1.0,1.8125,0.8903500298413075
10.0,1.0,1.9375,0.8995555148069362
10.0,1.0,2.0625,0.9086088501037656
